Element Number,Radius,Flow Rate,Inlet Pressure,Outlet Pressure,order
1404.0,0.68491,130.37,7332.439392,7332.138941,7.0
1405.0,0.68491,130.37,7332.138941,7331.838489,7.0
1406.0,0.68491,130.37,7331.838489,7331.413852,7.0
1407.0,0.68491,130.37,7331.413852,7330.989214,7.0
1408.0,0.68491,130.37,7330.989214,7330.564575,7.0
1409.0,0.68491,130.37,7330.564575,7330.264115,7.0
1410.0,0.68491,130.37,7330.264115,7329.963652,7.0
1411.0,0.68491,130.37,7329.963652,7329.663188,7.0
1412.0,0.68491,130.37,7329.663188,7329.238543,7.0
1413.0,0.68491,130.37,7329.238543,7328.938075,7.0
1414.0,0.68491,130.37,7328.938075,7328.637604,7.0
1415.0,0.68491,130.37,7328.637604,7328.212955,7.0
1416.0,0.68491,130.37,7328.212955,7327.912481,7.0
1417.0,0.68491,130.37,7327.912481,7327.612004,7.0
1418.0,0.68491,130.37,7327.612004,7327.311526,7.0
1419.0,0.68491,130.37,7327.311526,7327.011045,7.0
1420.0,0.68491,130.37,7327.011045,7326.710562,7.0
1421.0,0.68491,130.37,7326.710562,7326.285905,7.0
1422.0,0.68491,130.37,7326.285905,7325.861246,7.0
1423.0,0.68491,130.37,7325.861246,7325.436585,7.0
1424.0,0.68491,130.37,7325.436585,7325.136094,7.0
1425.0,0.68491,130.37,7325.136094,7324.835601,7.0
1426.0,0.68491,130.37,7324.835601,7324.535106,7.0
1427.0,0.68491,130.37,7324.535106,7324.234609,7.0
1428.0,0.68491,130.37,7324.234609,7323.809941,7.0
1429.0,0.68491,130.37,7323.809941,7323.50944,7.0
1430.0,0.68491,130.37,7323.50944,7323.208936,7.0
1431.0,0.68491,130.37,7323.208936,7322.784264,7.0
1432.0,0.68491,130.37,7322.784264,7322.483756,7.0
1433.0,0.68491,130.37,7322.483756,7322.05908,7.0
1434.0,0.68491,130.37,7322.05908,7321.634403,7.0
1435.0,0.68491,130.37,7321.634403,7321.333889,7.0
1436.0,0.68491,130.37,7321.333889,7320.909209,7.0
1437.0,0.68491,130.37,7320.909209,7320.484527,7.0
1438.0,0.68491,130.37,7320.484527,7320.059844,7.0
1439.0,0.68491,130.37,7320.059844,7319.759321,7.0
1440.0,0.68491,130.37,7319.759321,7319.458796,7.0
1441.0,0.68491,130.37,7319.458796,7319.034108,7.0
1442.0,0.68491,130.37,7319.034108,7318.609419,7.0
1443.0,0.68491,130.37,7318.609419,7318.184728,7.0
1444.0,0.68491,130.37,7318.184728,7317.884194,7.0
1445.0,0.68491,130.37,7317.884194,7317.583658,7.0
1446.0,0.68491,130.37,7317.583658,7317.158962,7.0
1447.0,0.68491,130.37,7317.158962,7316.858421,7.0
1448.0,0.68491,130.37,7316.858421,7316.557878,7.0
1449.0,0.68491,130.37,7316.557878,7316.133178,7.0
1450.0,0.68491,130.37,7316.133178,7315.83263,7.0
1451.0,0.68491,130.37,7315.83263,7315.53208,7.0
1452.0,0.68491,130.37,7315.53208,7315.107375,7.0
1453.0,0.68491,130.37,7315.107375,7314.806821,7.0
1454.0,0.68491,130.37,7314.806821,7314.506264,7.0
1455.0,0.68491,130.37,7314.506264,7314.081553,7.0
1456.0,0.68491,130.37,7314.081553,7313.780992,7.0
1457.0,0.68491,130.37,7313.780992,7313.356278,7.0
1458.0,0.68491,130.37,7313.356278,7313.055712,7.0
1459.0,0.68491,130.37,7313.055712,7312.755144,7.0
1460.0,0.68491,130.37,7312.755144,7312.454573,7.0
1461.0,0.68491,130.37,7312.454573,7312.154,7.0
1462.0,0.68491,130.37,7312.154,7311.853424,7.0
1463.0,0.68491,130.37,7311.853424,7311.428701,7.0
1464.0,0.68491,130.37,7311.428701,7311.12812,7.0
1465.0,0.68491,130.37,7311.12812,7310.827538,7.0
1466.0,0.68491,130.37,7310.827538,7310.402809,7.0
1467.0,0.68491,130.37,7310.402809,7309.978078,7.0
1468.0,0.68491,130.37,7309.978078,7309.553346,7.0
1469.0,0.68491,130.37,7309.553346,7309.128612,7.0
1470.0,0.68491,130.37,7309.128612,7308.703876,7.0
1471.0,0.68491,130.37,7308.703876,7308.403279,7.0
1472.0,0.68491,130.37,7308.403279,7308.102679,7.0
1473.0,0.68491,130.37,7308.102679,7307.677938,7.0
1474.0,0.68491,130.37,7307.677938,7307.253196,7.0
1475.0,0.68491,130.37,7307.253196,7306.828451,7.0
1476.0,0.68491,130.37,7306.828451,7306.403705,7.0
1477.0,0.68491,130.37,7306.403705,7305.978957,7.0
1478.0,0.68491,130.37,7305.978957,7305.554207,7.0
1479.0,0.68491,130.37,7305.554207,7305.254135,7.0
1480.0,0.68491,130.37,7305.254135,7304.829384,7.0
1481.0,0.68491,130.37,7304.829384,7304.528764,7.0
1482.0,0.68491,130.37,7304.528764,7304.104008,7.0
1483.0,0.68491,130.37,7304.104008,7303.803383,7.0
1484.0,0.68491,130.37,7303.803383,7303.502756,7.0
1485.0,0.68491,130.37,7303.502756,7303.077995,7.0
1486.0,0.68491,130.37,7303.077995,7302.653233,7.0
1487.0,0.68491,130.37,7302.653233,7302.228468,7.0
1488.0,0.68491,130.37,7302.228468,7301.803702,7.0
1489.0,0.68491,130.37,7301.803702,7301.378934,7.0
1490.0,0.68491,130.37,7301.378934,7300.954164,7.0
1491.0,0.68491,130.37,7300.954164,7300.529392,7.0
1492.0,0.68491,130.37,7300.529392,7300.228744,7.0
1493.0,0.68491,130.37,7300.228744,7299.928093,7.0
1494.0,0.68491,130.37,7299.928093,7299.503315,7.0
1495.0,0.68491,130.37,7299.503315,7299.078536,7.0
1496.0,0.68491,130.37,7299.078536,7298.653755,7.0
1497.0,0.68491,130.37,7298.653755,7298.353093,7.0
1498.0,0.68491,130.37,7298.353093,7298.052429,7.0
