Element Number,Radius,Flow Rate,Inlet Pressure,Outlet Pressure,Shear Stress,Order
385.0,1.3043,817.63,5638.825181,5638.626571,1.5764265157092807,9.0
386.0,1.3043,817.63,5638.626571,5638.486149,1.5764265157092807,9.0
387.0,1.3043,817.63,5638.486149,5638.345726,1.5764265157092807,9.0
388.0,1.3043,817.63,5638.345726,5638.147116,1.5764265157092807,9.0
389.0,1.3043,817.63,5638.147116,5637.948506,1.5764265157092807,9.0
390.0,1.3043,817.63,5637.948506,5637.808083,1.5764265157092807,9.0
391.0,1.3043,817.63,5637.808083,5637.609473,1.5764265157092807,9.0
392.0,1.3043,817.63,5637.609473,5637.469017,1.5764265157092807,9.0
393.0,1.3043,817.63,5637.469017,5637.328561,1.5764265157092807,9.0
394.0,1.3043,817.63,5637.328561,5637.129949,1.5764265157092807,9.0
395.0,1.3043,817.63,5637.129949,5636.989527,1.5764265157092807,9.0
396.0,1.3043,817.63,5636.989527,5636.849104,1.5764265157092807,9.0
397.0,1.3043,817.63,5636.849104,5636.708682,1.5764265157092807,9.0
398.0,1.3043,817.63,5636.708682,5636.568259,1.5764265157092807,9.0
399.0,1.3043,817.63,5636.568259,5636.369648,1.5764265157092807,9.0
400.0,1.3043,817.63,5636.369648,5636.229225,1.5764265157092807,9.0
401.0,1.3043,817.63,5636.229225,5636.030613,1.5764265157092807,9.0
402.0,1.3043,817.63,5636.030613,5635.832001,1.5764265157092807,9.0
403.0,1.3043,817.63,5635.832001,5635.691578,1.5764265157092807,9.0
404.0,1.3043,817.63,5635.691578,5635.492966,1.5764265157092807,9.0
405.0,1.3043,817.63,5635.492966,5635.294353,1.5764265157092807,9.0
406.0,1.3043,817.63,5635.294353,5635.153894,1.5764265157092807,9.0
407.0,1.3043,817.63,5635.153894,5635.013434,1.5764265157092807,9.0
408.0,1.3043,817.63,5635.013434,5634.81482,1.5764265157092807,9.0
409.0,1.3043,817.63,5634.81482,5634.616206,1.5764265157092807,9.0
410.0,1.3043,817.63,5634.616206,5634.475745,1.5764265157092807,9.0
411.0,1.3043,817.63,5634.475745,5634.335284,1.5764265157092807,9.0
412.0,1.3043,817.63,5634.335284,5634.136669,1.5764265157092807,9.0
413.0,1.3043,817.63,5634.136669,5633.938053,1.5764265157092807,9.0
414.0,1.3043,817.63,5633.938053,5633.797591,1.5764265157092807,9.0
415.0,1.3043,817.63,5633.797591,5633.657128,1.5764265157092807,9.0
416.0,1.3043,817.63,5633.657128,5633.458512,1.5764265157092807,9.0
417.0,1.3043,817.63,5633.458512,5633.259895,1.5764265157092807,9.0
